ID,B1,B2,B3,B4,B5,B6,B7,NDWI,NDVI,MNDWI,NDBI,elevation,LULC
2152_0,686,914,1098,2432,2868,3039,1957,-0.082264151,0.377903683,-0.516657853,0.082264151,1435,4
2153_0,599,868.5,1074.5,2519,2776,2905,1771,-0.048536355,0.40197579,-0.523391412,0.048536355,1532,4
2157_0,602,909,1076.5,2500.5,2699.5,2939.5,1904.5,-0.038269231,0.398098966,-0.496189552,0.038269231,2001,4
2165_0,848.5,1120.5,1172,2239,2447,2962.5,1696.5,-0.044387537,0.312811492,-0.371829012,0.044387537,163,4
2169_0,524,753,658,2905,1730.5,2896,1002,0.253370726,0.63064833,-0.393597745,-0.253370726,855,4
2173_0,393,543,545,2567,1833,2939,883,0.166818182,0.649742931,-0.542929293,-0.166818182,1379,4
2174_0,492,748,1015,2204,3058,2980,2243,-0.162295705,0.369369369,-0.606936416,0.162295705,2508,4
2177_0,691.5,960,1270,2630.5,3185.5,2982.5,2244.5,-0.09542641,0.348801436,-0.536847184,0.09542641,1156,4
2184_0,674,849,769,2341,1658,2955,961,0.170792698,0.505466238,-0.32269645,-0.170792698,84,4
2185_0,784,982,944,2438,2126,2985,1360,0.068361087,0.441750444,-0.368082368,-0.068361087,127,4
2188_0,692,978,1116,1675,1975,2924,1643,-0.082191781,0.200286636,-0.337622757,0.082191781,394,4
2191_0,400,379,409,1073,700,2853,350,0.210377891,0.448043185,-0.297497683,-0.210377891,882,4
2195_0,624,840,789.5,2569,1943,2965,1154.5,0.138741135,0.529849635,-0.39633489,-0.138741135,121,4
2197_0,512,690,753.5,2223,1685,2931.5,1086.5,0.137666325,0.493700655,-0.418947368,-0.137666325,1281,4
2199_0,615,764,840,2647,2246,2918,1376,0.081953812,0.518210496,-0.492358804,-0.081953812,932,4
2202_0,593,946,1173,1717,2081,2950,1459,-0.095839916,0.188235294,-0.374958705,0.095839916,2650,4
2217_0,387,749,839,2714,2727,2980,1923,-0.002389267,0.527723051,-0.569044879,0.002389267,1775,4
2218_0,535,731,758,2421,2362,2945,1537,0.012335354,0.523120478,-0.527319754,-0.012335354,1504,4
2225_0,855,1008,968,2280,1927,2975,1321,0.083907773,0.403940887,-0.313117547,-0.083907773,118,4
2226_0,377,538,470,2856,1771,2902,710,0.234493192,0.717378232,-0.533997401,-0.234493192,818,4
2228_0,424.5,628,558,2249,1885,2918.5,1009.5,0.088050314,0.602422515,-0.500198965,-0.088050314,1045,4
2232_0,234,263,254,947,734,2796,432,0.126710291,0.577019151,-0.472417252,-0.126710291,2297,4
2235_0,318,590,810,2249,2583,2960,1724,-0.069122517,0.470415168,-0.628112197,0.069122517,2151,4
2237_0,680,911,1041,2095.5,2502.5,2907.5,1802.5,-0.088516746,0.336202774,-0.466237,0.088516746,1423,4
2239_0,1229.5,1557.5,1743,2479.5,2948.5,2975,2179.5,-0.086403832,0.174422735,-0.308699512,0.086403832,72,4
2243_0,731,1021,1168,2201,2422,2980,1833,-0.047804456,0.306619175,-0.406912576,0.047804456,167,4
2249_0,838,929,796,1993,1390,2945,828,0.178244162,0.429186088,-0.198792583,-0.178244162,84,4
2253_0,667,945,1123,2186,2433,2955,1783,-0.053474778,0.321245089,-0.440497336,0.053474778,1323,4
2259_0,749,1041,1175,2230,2555,2929,1871,-0.067920585,0.309838473,-0.421023359,0.067920585,144,4
2260_0,1254,1410,1523,2190,3129,2975,2566,-0.176536943,0.179639106,-0.378717779,0.176536943,157,4
2261_0,692,878.5,931,2362.5,1837.5,2939.5,1066,0.125,0.434643996,-0.353092784,-0.125,724,4
2262_0,960,1211,1368,2396.5,2765.5,2977.5,1931.5,-0.071483921,0.273210254,-0.390921665,0.071483921,99,4
2263_0,726.5,902.5,954,2227.5,1920,2944.5,1208,0.074141049,0.400282885,-0.360496014,-0.074141049,123,4
2264_0,757,1154,1695,3176,4107,3072,2987,-0.127831937,0.304044344,-0.561300133,0.127831937,1714,4
2278_0,642,937,871,2993,2117,2975,1464,0.171428571,0.549171843,-0.38637852,-0.171428571,176,4
2279_0,1211,1562,1645,2463,2823,2965,2371,-0.068104427,0.199123661,-0.287571266,0.068104427,64,4
2288_0,789.5,943.5,1058.5,2370,2117,2915.5,1223.5,0.056385113,0.382528803,-0.383434079,-0.056385113,120,4
2289_0,990.5,1225,1298.5,2494,2915,2947,2058,-0.077833241,0.315227423,-0.40821256,0.077833241,75,4
2298_0,954.5,1157,1216,2547.5,1993,2970,1394.5,0.122123114,0.353793012,-0.265396825,-0.122123114,160,4
2299_0,931,1256,1430,2804,2806,3000,1942,-3.57E-04,0.324515824,-0.381585426,3.57E-04,99,4
2302_0,379,580.5,719.5,2266,2261,2944.5,1483.5,0.001104484,0.518003684,-0.591412986,-0.001104484,1955,4
2305_0,386.5,583.5,538,2473,1837,2926,994,0.147563805,0.64264364,-0.517868209,-0.147563805,1441,4
2311_0,805,1199,1436.5,2797.5,3642,2970,2707.5,-0.131143722,0.321445442,-0.5046478,0.131143722,1090,4
