LULC,NDWI,NDVI,B1,B2,B3,B4,B5,B6,MNDWI,B7,NDBI,system:index
1,0.15060851926977686,0.6115056818181818,539.0,589.0,547.0,2269.0,1675.0,2945.0,-0.4796819787985866,807.0,-0.15060851926977686,60_0
3,-0.0011788977306218685,0.5345256961738737,367.5,459.5,514.0,1694.5,1698.5,2801.5,-0.5741427247451344,1069.5,0.0011788977306218685,61_0
5,-0.3066485753052917,0.1815028901734104,1005.5,1171.0,1239.0,1788.5,3370.5,2886.0,-0.4843113508752615,3281.0,0.3066485753052917,62_0
1,0.1583224967490247,0.5671871563668353,491.0,537.5,492.0,1781.5,1294.5,2913.0,-0.41320960698689957,513.0,-0.1583224967490247,63_0
4,0.12451931880607947,0.6655817737998373,332.0,609.5,616.5,3070.5,2390.5,2886.5,-0.5936666666666667,1232.0,-0.12451931880607947,64_0
7,0.8624717615295608,-0.40595068627967873,20000.0,20000.0,20000.0,8450.5,624.0,2551.0,0.939487975174554,504.5,-0.8624717615295608,65_0
3,-0.06521414714221759,0.16,803.0,922.0,1134.0,1566.0,1784.5,2838.5,-0.3186772584518751,1240.5,0.06521414714221759,66_0
4,0.08919574547490203,0.6151079136690647,400.0,672.0,695.5,2918.5,2440.5,2907.5,-0.5681927710843373,1473.0,-0.08919574547490203,67_0
1,0.10433763188745604,0.5295311548609701,469.5,595.5,579.5,1884.0,1528.0,2872.5,-0.4391335060042383,942.5,-0.10433763188745604,68_0
1,0.22690763052208834,0.6275972296217368,282.5,429.5,349.5,1527.5,962.5,2877.5,-0.3829022988505747,449.0,-0.22690763052208834,69_0
1,0.09078961778556566,0.5712257453857075,536.5,696.0,679.5,2490.0,2075.5,2921.0,-0.497744903481869,1215.0,-0.09078961778556566,70_0
4,0.14714714714714713,0.5739356020143446,520.5,668.5,698.0,2578.5,1917.0,2931.5,-0.48288532198801004,941.5,-0.14714714714714713,71_0
1,0.1983883152858222,-0.2606655687785477,10136.0,10197.5,10143.0,5948.5,3979.0,2824.5,0.4386484675342997,2769.5,-0.1983883152858222,72_0
7,0.8196115973741794,-0.5007972985648625,20000.0,20000.0,20000.0,6652.5,659.5,2686.5,0.9361552796534282,485.5,-0.8196115973741794,73_0
1,0.27998690885288824,0.6164496796858855,437.0,500.0,464.0,1955.5,1100.0,2905.0,-0.375,564.0,-0.27998690885288824,74_0
1,0.32339698804533457,0.8280077203517049,225.0,327.0,200.5,2131.0,1089.5,2872.0,-0.538298623367455,439.0,-0.32339698804533457,75_0
1,0.3524355300859599,0.8119001919385797,201.0,301.0,196.0,1888.0,904.0,2847.0,-0.5004149377593361,395.0,-0.3524355300859599,76_0
8,0.06227511763077775,0.40792369772560527,700.0,803.0,807.0,1919.0,1694.0,2965.0,-0.3568281938325991,1070.0,-0.06227511763077775,77_0
7,-0.19626041596097826,0.0666187179717702,2056.0,2383.0,2595.5,2966.0,4414.5,2798.5,-0.2988598749540272,4657.0,0.19626041596097826,78_0
7,0.8312939589555833,-0.35577134916196385,20000.0,20000.0,20000.0,9503.5,875.5,2645.5,0.9161217695384541,700.0,-0.8312939589555833,79_0
8,0.05888236029503688,0.38579842931937175,678.0,877.5,938.5,2117.5,1882.0,2936.5,-0.3640152201485776,1295.5,-0.05888236029503688,80_0
